"idparada";"codigo";"longitude";"latitude";"terminal"
1057;"4236";-51,21494900000000000;-30,14123100000000000;"N"
1058;"4237";-51,21450100000000000;-30,13997000000000000;"N"
1059;"4533";-51,21141400000000000;-30,14541200000000000;"N"
1063;"4532";-51,21135300000000000;-30,14349400000000000;"N"
1066;"4534";-51,21217900000000000;-30,14238800000000000;"N"
1067;"4531";-51,21141900000000000;-30,14104600000000000;"N"
1068;"4238";-51,21309600000000000;-30,13879400000000000;"N"
1072;"4530";-51,21001700000000000;-30,13835100000000000;"N"
1073;"4529";-51,20954800000000000;-30,13739800000000000;"N"
1074;"4528";-51,20930900000000000;-30,13624900000000000;"N"
1075;"4522";-51,20867600000000000;-30,13631700000000000;"N"
1076;"4523";-51,20862900000000000;-30,13625800000000000;"N"
1079;"4423";-51,20189400000000000;-30,14461300000000000;"N"
1080;"4422";-51,20188100000000000;-30,14452300000000000;"N"
1081;"4524";-51,20739100000000000;-30,13658000000000000;"N"
1082;"4527";-51,20805200000000000;-30,13535100000000000;"N"
1083;"4526";-51,20746700000000000;-30,13522600000000000;"N"
1084;"4525";-51,20723100000000000;-30,13576000000000000;"N"
1091;"4673";-51,21619500000000000;-30,13034600000000000;"N"
1096;"4369";-51,21164800000000000;-30,12509400000000000;"N"
1110;"4321";-51,21413700000000000;-30,11506500000000000;"N"
1111;"4320";-51,21351900000000000;-30,11520800000000000;"N"
1121;"4356";-51,20983600000000000;-30,11609500000000000;"N"
1122;"4355";-51,20860000000000000;-30,11648400000000000;"N"
1123;"4339";-51,20852100000000000;-30,11526900000000000;"N"
1124;"4340";-51,20855600000000000;-30,11520200000000000;"N"
1126;"4375";-51,20814300000000000;-30,12516800000000000;"N"
1127;"4400";-51,20405400000000000;-30,12965700000000000;"N"
1138;"4354";-51,20820900000000000;-30,11680200000000000;"N"
1144;"4393";-51,20264300000000000;-30,12187700000000000;"N"
1145;"5367";-51,20249800000000000;-30,12272900000000000;"N"
1151;"4389";-51,20255400000000000;-30,11797100000000000;"N"
1156;"4417";-51,19718700000000000;-30,14216600000000000;"N"
1158;"4415";-51,19662100000000000;-30,14048300000000000;"N"
1160;"4412";-51,19611500000000000;-30,13505100000000000;"N"
1169;"4640";-51,19261400000000000;-30,13136500000000000;"N"
1174;"4650";-51,18651300000000000;-30,13646200000000000;"N"
1175;"4649";-51,18643600000000000;-30,13643400000000000;"N"
1178;"4648";-51,18751600000000000;-30,13470100000000000;"N"
1179;"4647";-51,18748000000000000;-30,13463100000000000;"N"
1183;"4635";-51,19669900000000000;-30,12982600000000000;"N"
1184;"4636";-51,19668900000000000;-30,12974400000000000;"N"
1186;"4638";-51,19401700000000000;-30,13077100000000000;"N"
1194;"4323";-51,21553900000000000;-30,11420000000000000;"N"
1195;"4322";-51,21537000000000000;-30,11417800000000000;"N"
1203;"4336";-51,21203800000000000;-30,11367100000000000;"N"
1204;"4335";-51,21205600000000000;-30,11358700000000000;"N"
1205;"4338";-51,21018100000000000;-30,11455800000000000;"N"
1206;"4337";-51,21012300000000000;-30,11450600000000000;"N"
1213;"4341";-51,20565300000000000;-30,11402700000000000;"N"
1214;"4342";-51,20557100000000000;-30,11405200000000000;"N"
1215;"4344";-51,20383200000000000;-30,11277900000000000;"N"
1216;"4343";-51,20376500000000000;-30,11282200000000000;"N"
1219;"4349";-51,20163800000000000;-30,11325700000000000;"N"
1223;"3839";-51,21550500000000000;-30,09293300000000000;"N"
1224;"3838";-51,21553500000000000;-30,09286500000000000;"N"
1225;"3836";-51,21641700000000000;-30,09028300000000000;"N"
1226;"3837";-51,21619300000000000;-30,09054300000000000;"N"
1227;"3846";-51,21357900000000000;-30,09080500000000000;"N"
1228;"3847";-51,21363400000000000;-30,09074800000000000;"N"
1229;"3848";-51,21235000000000000;-30,09007500000000000;"N"
1230;"3844";-51,21452900000000000;-30,08965200000000000;"N"
1231;"3843";-51,21508900000000000;-30,08859500000000000;"N"
1232;"3842";-51,21518700000000000;-30,08822300000000000;"N"
1235;"3834";-51,21510600000000000;-30,08725700000000000;"N"
1236;"3833";-51,21516800000000000;-30,08720000000000000;"N"
1238;"3850";-51,21311400000000000;-30,08813300000000000;"N"
1239;"3849";-51,21305800000000000;-30,08806700000000000;"N"
1244;"3854";-51,21294500000000000;-30,08519600000000000;"N"
1249;"3855";-51,21039500000000000;-30,08684700000000000;"N"
1250;"3856";-51,20857000000000000;-30,08865600000000000;"N"
1251;"3857";-51,20860600000000000;-30,08851200000000000;"N"
1252;"3858";-51,21018700000000000;-30,08694400000000000;"N"
1253;"973";-51,20835600000000000;-30,08458500000000000;"N"
1254;"972";-51,20840600000000000;-30,08428700000000000;"N"
1255;"975";-51,20761900000000000;-30,08593100000000000;"N"
1258;"970";-51,20712400000000000;-30,08302500000000000;"N"
1261;"4630";-51,19872200000000000;-30,11089000000000000;"N"
1266;"4622";-51,19194300000000000;-30,11324600000000000;"N"
1269;"4621";-51,19172000000000000;-30,11356900000000000;"N"
1270;"4586";-51,18797700000000000;-30,09900500000000000;"N"
1271;"4584";-51,18790100000000000;-30,09889700000000000;"N"
1273;"3865";-51,19361100000000000;-30,09256100000000000;"N"
1274;"3864";-51,19348500000000000;-30,09252700000000000;"N"
1276;"5371";-51,19692900000000000;-30,08653800000000000;"N"
1277;"3861";-51,19656700000000000;-30,08692400000000000;"N"
1278;"3871";-51,19668800000000000;-30,08663600000000000;"N"
1280;"3859";-51,19809700000000000;-30,08544300000000000;"N"
1281;"3873";-51,19899100000000000;-30,08419700000000000;"N"
1282;"5366";-51,19894800000000000;-30,08423600000000000;"N"
1283;"3877";-51,19851400000000000;-30,08192000000000000;"N"
1284;"3860";-51,19797900000000000;-30,08545100000000000;"N"
1285;"3875";-51,19793200000000000;-30,08316100000000000;"N"
1286;"3874";-51,19775200000000000;-30,08327600000000000;"N"
1290;"3868";-51,19538700000000000;-30,08977800000000000;"N"
1292;"3870";-51,19589800000000000;-30,08836200000000000;"N"
1301;"4583";-51,18636500000000000;-30,09819500000000000;"N"
1302;"4582";-51,18631100000000000;-30,09808300000000000;"N"
1303;"4587";-51,18456000000000000;-30,09724900000000000;"N"
1322;"3675";-51,24389900000000000;-30,08022400000000000;"N"
1324;"3676";-51,24278800000000000;-30,08094400000000000;"N"
1329;"3696";-51,23903100000000000;-30,07986800000000000;"N"
1331;"3698";-51,23945100000000000;-30,07799900000000000;"N"
1332;"3695";-51,23832000000000000;-30,08014700000000000;"N"
1333;"3694";-51,23756000000000000;-30,07918800000000000;"N"
1334;"3693";-51,23732600000000000;-30,07938300000000000;"N"
1335;"3691";-51,23630900000000000;-30,07996000000000000;"N"
1336;"3692";-51,23644900000000000;-30,07976700000000000;"N"
1337;"3690";-51,23415400000000000;-30,08122600000000000;"N"
1338;"3700";-51,23381800000000000;-30,08132100000000000;"N"
1350;"3533";-51,22932500000000000;-30,07642900000000000;"N"
1351;"3534";-51,22917400000000000;-30,07641100000000000;"N"
1352;"2969";-51,22802700000000000;-30,08106200000000000;"N"
1353;"2970";-51,22705300000000000;-30,08042000000000000;"N"
1354;"2971";-51,22582800000000000;-30,07939400000000000;"N"
1355;"2972";-51,22518700000000000;-30,07900000000000000;"N"
1356;"3755";-51,22515200000000000;-30,07959600000000000;"N"
1358;"3536";-51,22805700000000000;-30,07558200000000000;"N"
1359;"3537";-51,22706600000000000;-30,07475600000000000;"N"
1360;"3538";-51,22695600000000000;-30,07476800000000000;"N"
1364;"3530";-51,23071000000000000;-30,07224400000000000;"N"
1365;"3567";-51,23012300000000000;-30,07218600000000000;"N"
1366;"3529";-51,22930900000000000;-30,07167700000000000;"N"
1367;"3591";-51,23052200000000000;-30,06694900000000000;"N"
1368;"3590";-51,23011000000000000;-30,06611600000000000;"N"
1369;"3565";-51,22739200000000000;-30,07200000000000000;"N"
1370;"3527";-51,22701400000000000;-30,07239800000000000;"N"
1371;"3566";-51,22829500000000000;-30,07130700000000000;"N"
1372;"3528";-51,22762600000000000;-30,07106700000000000;"N"
1373;"3539";-51,22660300000000000;-30,07353200000000000;"N"
1374;"3540";-51,22583500000000000;-30,07339900000000000;"N"
1375;"3652";-51,22576500000000000;-30,07207800000000000;"N"
1376;"3542";-51,22492700000000000;-30,07307400000000000;"N"
1377;"3541";-51,22477200000000000;-30,07309800000000000;"N"
1378;"3564";-51,22527100000000000;-30,07202100000000000;"N"
1379;"3653";-51,22567700000000000;-30,07058400000000000;"N"
1380;"3563";-51,22557200000000000;-30,07063100000000000;"N"
1381;"3593";-51,22853500000000000;-30,06607100000000000;"N"
1382;"3654";-51,22483700000000000;-30,06950700000000000;"N"
1383;"3562";-51,22472100000000000;-30,06948100000000000;"N"
1384;"3705";-51,22252800000000000;-30,07790400000000000;"N"
1385;"2973";-51,22423700000000000;-30,07756000000000000;"N"
1386;"2974";-51,22428100000000000;-30,07746600000000000;"N"
1387;"2975";-51,22289900000000000;-30,07574400000000000;"N"
1388;"2976";-51,22262700000000000;-30,07554600000000000;"N"
1389;"3707";-51,22237400000000000;-30,07711200000000000;"N"
1390;"3706";-51,22237200000000000;-30,07703000000000000;"N"
1391;"2977";-51,22119100000000000;-30,07377400000000000;"N"
1399;"3704";-51,22023700000000000;-30,07747100000000000;"N"
1400;"3703";-51,22020600000000000;-30,07735400000000000;"N"
1401;"3709";-51,22037700000000000;-30,07622000000000000;"N"
1402;"3708";-51,22039500000000000;-30,07614700000000000;"N"
1403;"3710";-51,21745600000000000;-30,07551900000000000;"N"
1404;"3711";-51,21741900000000000;-30,07544900000000000;"N"
1408;"3546";-51,22101900000000000;-30,07206500000000000;"N"
1409;"3545";-51,22105100000000000;-30,07199700000000000;"N"
1410;"3561";-51,22427600000000000;-30,06796100000000000;"N"
1411;"3655";-51,22435500000000000;-30,06786000000000000;"N"
1412;"3656";-51,22401200000000000;-30,06651700000000000;"N"
1413;"3560";-51,22391400000000000;-30,06646900000000000;"N"
1414;"2979";-51,21933900000000000;-30,07289200000000000;"N"
1417;"3723";-51,21692400000000000;-30,07289200000000000;"N"
1418;"3722";-51,21687200000000000;-30,07271100000000000;"N"
1419;"3724";-51,21708900000000000;-30,07213600000000000;"N"
1420;"3725";-51,21680100000000000;-30,07160900000000000;"N"
1421;"2982";-51,21668200000000000;-30,07023900000000000;"N"
1422;"2983";-51,21650000000000000;-30,07014500000000000;"N"
1426;"3597";-51,23118500000000000;-30,06333900000000000;"N"
1428;"3596";-51,22997200000000000;-30,06373500000000000;"N"
1431;"3595";-51,22911100000000000;-30,06401800000000000;"N"
1438;"3594";-51,22794500000000000;-30,06488700000000000;"N"
1460;"5380";-51,22480700000000000;-30,05299800000000000;"N"
1465;"3657";-51,22327100000000000;-30,06392000000000000;"N"
1466;"3659";-51,22094100000000000;-30,06173700000000000;"N"
1477;"3557";-51,22023000000000000;-30,06147400000000000;"N"
1478;"3556";-51,21865500000000000;-30,06140500000000000;"N"
1479;"3554";-51,21700400000000000;-30,06375700000000000;"N"
1480;"3553";-51,21691900000000000;-30,06373900000000000;"N"
1481;"3555";-51,21829800000000000;-30,06177500000000000;"N"
1507;"3488";-51,23897700000000000;-30,03635700000000000;"N"
1508;"3489";-51,23805900000000000;-30,03625400000000000;"N"
1513;"3492";-51,23645500000000000;-30,03605900000000000;"N"
1514;"3491";-51,23661700000000000;-30,03601500000000000;"N"
1515;"3375";-51,23531900000000000;-30,03507400000000000;"N"
1524;"3484";-51,23779900000000000;-30,03258400000000000;"N"
1525;"3419";-51,23763800000000000;-30,03052700000000000;"N"
1530;"3478";-51,23393200000000000;-30,02977600000000000;"N"
1534;"3422";-51,23262300000000000;-30,04570500000000000;"N"
1557;"3615";-51,22763800000000000;-30,04137000000000000;"N"
1572;"3378";-51,23071400000000000;-30,03608000000000000;"N"
1583;"3379";-51,22869500000000000;-30,03608000000000000;"N"
1601;"3257";-51,22125800000000000;-30,04178200000000000;"N"
1628;"5379";-51,21877700000000000;-30,03961200000000000;"N"
1637;"3395";-51,23062200000000000;-30,03268300000000000;"N"
1647;"3394";-51,22538600000000000;-30,03151100000000000;"N"
1663;"1396";-51,21732200000000000;-30,02686400000000000;"N"
1671;"3829";-51,21385400000000000;-30,08139900000000000;"N"
1672;"3830";-51,21344200000000000;-30,07995300000000000;"N"
1677;"3712";-51,21613100000000000;-30,07558200000000000;"N"
1678;"3713";-51,21518400000000000;-30,07555600000000000;"N"
1682;"3721";-51,21367100000000000;-30,07642500000000000;"N"
1683;"3714";-51,21412100000000000;-30,07555200000000000;"N"
1687;"3828";-51,21234000000000000;-30,08049200000000000;"N"
1691;"3717";-51,21224300000000000;-30,07486200000000000;"N"
1692;"3720";-51,21156000000000000;-30,07540100000000000;"N"
1693;"3718";-51,21205700000000000;-30,07462800000000000;"N"
1694;"3719";-51,21083300000000000;-30,07380300000000000;"N"
1701;"2984";-51,21545000000000000;-30,06932400000000000;"N"
1702;"2986";-51,21589400000000000;-30,06903500000000000;"N"
1706;"3550";-51,21562000000000000;-30,06578500000000000;"N"
1707;"3549";-51,21475900000000000;-30,06683400000000000;"N"
1708;"3548";-51,21456600000000000;-30,06694300000000000;"N"
1709;"2989";-51,21408700000000000;-30,06901800000000000;"N"
1710;"3547";-51,21376300000000000;-30,06791600000000000;"N"
1712;"4676";-51,21045800000000000;-30,07293500000000000;"N"
1713;"4677";-51,21068800000000000;-30,07208100000000000;"N"
1714;"4678";-51,21071800000000000;-30,07186200000000000;"N"
1715;"2990";-51,21201000000000000;-30,06984000000000000;"N"
1716;"4679";-51,21126600000000000;-30,07077000000000000;"N"
1720;"4680";-51,20946700000000000;-30,07140300000000000;"N"
1721;"1259";-51,21216400000000000;-30,06861000000000000;"N"
1722;"2991";-51,21105300000000000;-30,06944100000000000;"N"
1723;"1261";-51,21062900000000000;-30,06708000000000000;"N"
1727;"2994";-51,20986000000000000;-30,06916700000000000;"N"
1728;"2995";-51,20968800000000000;-30,06913200000000000;"N"
1733;"977";-51,20425300000000000;-30,08031200000000000;"N"
1734;"979";-51,20449100000000000;-30,07852300000000000;"N"
1739;"966";-51,20161300000000000;-30,07999100000000000;"N"
1741;"965";-51,20064200000000000;-30,08007700000000000;"N"
1742;"964";-51,20050200000000000;-30,07976300000000000;"N"
1745;"2593";-51,20324100000000000;-30,07457700000000000;"N"
1748;"932";-51,20040600000000000;-30,07583800000000000;"N"
1769;"3001";-51,20040500000000000;-30,07098800000000000;"N"
1770;"2998";-51,20159600000000000;-30,06943200000000000;"N"
1771;"3551";-51,21621200000000000;-30,06503500000000000;"N"
1772;"3552";-51,21615200000000000;-30,06498100000000000;"N"
1801;"3038";-51,21159800000000000;-30,05022400000000000;"N"
1808;"3035";-51,20554000000000000;-30,06218300000000000;"N"
1814;"1014";-51,20671700000000000;-30,05985200000000000;"N"
1815;"1013";-51,20739600000000000;-30,05808300000000000;"N"
1818;"1012";-51,20586700000000000;-30,05849000000000000;"N"
1819;"1021";-51,20513200000000000;-30,05890300000000000;"N"
1821;"1020";-51,20467000000000000;-30,05735000000000000;"N"
1822;"3033";-51,20330200000000000;-30,06230400000000000;"N"
1823;"3034";-51,20322500000000000;-30,06233300000000000;"N"
1824;"1031";-51,20196200000000000;-30,06462500000000000;"N"
1825;"1032";-51,20184200000000000;-30,06472000000000000;"N"
1826;"1033";-51,20043100000000000;-30,06483200000000000;"N"
1827;"1034";-51,20035200000000000;-30,06492300000000000;"N"
1828;"1030";-51,20161000000000000;-30,06317800000000000;"N"
1829;"1029";-51,20142400000000000;-30,06296300000000000;"N"
1830;"3032";-51,20265800000000000;-30,06041200000000000;"N"
1831;"3031";-51,20269300000000000;-30,06027800000000000;"N"
1833;"3029";-51,20212200000000000;-30,05854300000000000;"N"
1834;"1028";-51,20036300000000000;-30,06053800000000000;"N"
1836;"1023";-51,20134400000000000;-30,05838400000000000;"N"
1837;"1024";-51,20098300000000000;-30,05854600000000000;"N"
1838;"1015";-51,20807200000000000;-30,05697900000000000;"N"
1840;"1019";-51,20426700000000000;-30,05595700000000000;"N"
1841;"1017";-51,20678400000000000;-30,05267200000000000;"N"
1850;"1018";-51,20351400000000000;-30,05350100000000000;"N"
1852;"3026";-51,20157800000000000;-30,05661300000000000;"N"
1853;"3025";-51,20112900000000000;-30,05500000000000000;"N"
1856;"1129";-51,20219000000000000;-30,05016100000000000;"N"
1861;"1121";-51,20138000000000000;-30,04916400000000000;"N"
1862;"1119";-51,20017100000000000;-30,05085800000000000;"N"
1863;"1120";-51,20028900000000000;-30,05055900000000000;"N"
1865;"3879";-51,19950900000000000;-30,08119700000000000;"N"
1866;"3878";-51,19941000000000000;-30,08133900000000000;"N"
1867;"3883";-51,19949800000000000;-30,07907300000000000;"N"
1868;"3884";-51,19922200000000000;-30,07897800000000000;"N"
1877;"925";-51,19745400000000000;-30,07869700000000000;"N"
1881;"934";-51,19880200000000000;-30,07555200000000000;"N"
1883;"923";-51,19661300000000000;-30,07771700000000000;"N"
1884;"924";-51,19647800000000000;-30,07768900000000000;"N"
1888;"952";-51,19431200000000000;-30,07950300000000000;"N"
1890;"959";-51,19454000000000000;-30,07860100000000000;"N"
1892;"958";-51,19261300000000000;-30,08101500000000000;"N"
1895;"937";-51,19588400000000000;-30,07494700000000000;"N"
1896;"946";-51,19403400000000000;-30,07565400000000000;"N"
1897;"947";-51,19395300000000000;-30,07563300000000000;"N"
1906;"3002";-51,19917200000000000;-30,07091000000000000;"N"
1907;"3003";-51,19919400000000000;-30,07083900000000000;"N"
1909;"3004";-51,19797600000000000;-30,07040000000000000;"N"
1910;"3005";-51,19779000000000000;-30,07029300000000000;"N"
1913;"1038";-51,19760300000000000;-30,06584900000000000;"N"
1914;"1037";-51,19751100000000000;-30,06579900000000000;"N"
1918;"3008";-51,19589800000000000;-30,06797600000000000;"N"
1919;"3009";-51,19571700000000000;-30,06800400000000000;"N"
1920;"3010";-51,19484500000000000;-30,06795400000000000;"N"
1921;"3011";-51,19484500000000000;-30,06783100000000000;"N"
1922;"3012";-51,19409200000000000;-30,06786400000000000;"N"
1923;"3013";-51,19399100000000000;-30,06784500000000000;"N"
1924;"1039";-51,19584800000000000;-30,06657100000000000;"N"
1925;"1040";-51,19571900000000000;-30,06658200000000000;"N"
1926;"1041";-51,19419700000000000;-30,06591700000000000;"N"
1929;"3015";-51,19241100000000000;-30,06895100000000000;"N"
1932;"1054";-51,19238800000000000;-30,06708400000000000;"N"
1936;"945";-51,19119200000000000;-30,07549100000000000;"N"
1941;"944";-51,18863700000000000;-30,07373200000000000;"N"
1944;"909";-51,18539200000000000;-30,07366500000000000;"N"
1945;"908";-51,18371200000000000;-30,07456700000000000;"N"
1946;"5336";-51,18817000000000000;-30,07357000000000000;"N"
1948;"2649";-51,18928900000000000;-30,07039600000000000;"N"
1949;"3017";-51,19110000000000000;-30,06884900000000000;"N"
1950;"3019";-51,19166100000000000;-30,06752600000000000;"N"
1951;"3018";-51,19158900000000000;-30,06764100000000000;"N"
1952;"3016";-51,19068000000000000;-30,06863200000000000;"N"
1953;"5358";-51,19177300000000000;-30,06739000000000000;"N"
1955;"3020";-51,19123900000000000;-30,06686700000000000;"N"
1956;"1043";-51,19181400000000000;-30,06548600000000000;"N"
1957;"1053";-51,19153800000000000;-30,06551700000000000;"N"
1960;"3021";-51,19028400000000000;-30,06585100000000000;"N"
1964;"240";-51,18653200000000000;-30,06960900000000000;"N"
1965;"239";-51,18576100000000000;-30,07003200000000000;"N"
1966;"910";-51,18548400000000000;-30,07353100000000000;"N"
1967;"210";-51,18506800000000000;-30,06962000000000000;"N"
1968;"211";-51,18455400000000000;-30,07056600000000000;"N"
1970;"2648";-51,18750300000000000;-30,06784700000000000;"N"
1971;"237";-51,18444100000000000;-30,06895600000000000;"N"
1973;"209";-51,18406500000000000;-30,06789300000000000;"N"
1974;"1035";-51,19899100000000000;-30,06530000000000000;"N"
1975;"1036";-51,19893800000000000;-30,06524300000000000;"N"
1976;"1026";-51,19989500000000000;-30,05909200000000000;"N"
1977;"1025";-51,19978500000000000;-30,05899500000000000;"N"
1985;"1112";-51,19752200000000000;-30,05395700000000000;"N"
1986;"1113";-51,19692900000000000;-30,05430400000000000;"N"
1987;"1114";-51,19622100000000000;-30,05492900000000000;"N"
1988;"1109";-51,19932700000000000;-30,05258500000000000;"N"
1989;"1118";-51,19947300000000000;-30,05171500000000000;"N"
1990;"1110";-51,19890200000000000;-30,05265900000000000;"N"
1992;"1154";-51,19713600000000000;-30,05191200000000000;"N"
1993;"1132";-51,19786000000000000;-30,04915400000000000;"N"
1996;"1115";-51,19548100000000000;-30,05471200000000000;"N"
1997;"1116";-51,19467100000000000;-30,05422000000000000;"N"
1998;"1158";-51,19244700000000000;-30,05715700000000000;"N"
1999;"1156";-51,19271500000000000;-30,05622300000000000;"N"
2004;"1169";-51,19437600000000000;-30,05023500000000000;"N"
2007;"1171";-51,19276700000000000;-30,05069900000000000;"N"
2008;"1170";-51,19272000000000000;-30,05063700000000000;"N"
2009;"1047";-51,19094000000000000;-30,06453900000000000;"N"
2010;"1048";-51,19003300000000000;-30,06457900000000000;"N"
2011;"1049";-51,18998100000000000;-30,06452300000000000;"N"
2013;"2777";-51,19066200000000000;-30,06196700000000000;"N"
2020;"1164";-51,18950300000000000;-30,05737400000000000;"N"
2024;"238";-51,18423500000000000;-30,06521800000000000;"N"
2043;"1172";-51,19121600000000000;-30,05119000000000000;"N"
2044;"1173";-51,19117500000000000;-30,05112700000000000;"N"
2051;"1178";-51,18727400000000000;-30,05386800000000000;"N"
2057;"1177";-51,18755700000000000;-30,05260100000000000;"N"
2072;"1303";-51,21556200000000000;-30,04229200000000000;"N"
2112;"3464";-51,21104200000000000;-30,03425700000000000;"N"
2115;"3268";-51,20839300000000000;-30,03330500000000000;"N"
2119;"1141";-51,20735400000000000;-30,04774800000000000;"N"
2122;"1142";-51,20595200000000000;-30,04696800000000000;"N"
2125;"1128";-51,20418600000000000;-30,04663500000000000;"N"
2133;"1148";-51,20494500000000000;-30,04494300000000000;"N"
2137;"1125";-51,20372600000000000;-30,04747300000000000;"N"
2138;"1124";-51,20336300000000000;-30,04717700000000000;"N"
2140;"1122";-51,20147500000000000;-30,04888900000000000;"N"
2142;"2833";-51,20399800000000000;-30,04423800000000000;"N"
2151;"2787";-51,20476900000000000;-30,04066700000000000;"N"
2153;"2788";-51,20493700000000000;-30,03831300000000000;"N"
2156;"2785";-51,20433000000000000;-30,03715600000000000;"N"
2165;"3362";-51,20415600000000000;-30,03312700000000000;"N"
2167;"3454";-51,21623400000000000;-30,02931200000000000;"N"
2182;"3463";-51,21093200000000000;-30,03195900000000000;"N"
2184;"3462";-51,21083900000000000;-30,03004000000000000;"N"
2192;"1577";-51,21407800000000000;-30,02404700000000000;"N"
